[[715324014290272256], 1] 1
[[715324014290272256], 1] 1
[[715324014290272256], 1] 1
[[715324014290272256], 1] 1
[[715324014290272256], 1] 1
[[715324014290272256], 1] 1
[[715324014290272256], 1] 1
[[715324014290272256], 1] 1
[[715324014290272256], 1] 1
[[715324568995569664], 1] 1
[[715327276389416960], 1] 1
[[715327364335534080], 1] 1
[[715328718135291904], 1] 1
[[715330238117314560], 1] 1
[[715330238117314560], 1] 1
[[715330510814257152], 1] 1
[[715331293219790852], 1] 1
[[715331346504155136], 1] 1
[[715334656892088320], 1] 1
[[715337006188986368], 1] 1
[[715338611722428416], 1] 1
[[715341292721426432], 1] 1
[[715344952624943104], 1] 1
[[715344952624943104], 1] 1
[[715346967941894144], 1] 1
[[715347391042301952], 1] 1
[[715349149084942337], 1] 1
[[715349460058972161], 1] 1
[[715351642812448768], 1] 1
[[715352633670651906], 1] 1
[[715352918279512064], 1] 1
[[715354180525789184], 1] 1
[[715356445026324480], 1] 1
[[715356905066012672], 1] 1
[[715357754232291328], 1] 1
[[715358120646733824], 1] 1
[[715358552622116864], 1] 1
[[715358891127603200], 1] 1
[[715359765942050816], 1] 1
[[715360761242062848], 1] 1
[[715360958286336001], 1] 1
[[715362476095905792], 1] 1
[[715362942212964352], 1] 1
[[715363956294987781], 1] 1
[[715366748933853184], 1] 1
[[715367967027027968], 1] 1
[[715368386440663042], 1] 1
[[715368712765882369], 1] 1
[[715369308512063488], 1] 1
[[715369521150763012], 1] 1
[[715370280542203904], 1] 1
[[715370280542203904], 1] 1
[[715370445646733312], 1] 1
[[715370821368283136], 1] 1
[[715371571037257729], 1] 1
[[715372738748264448], 1] 1
[[715373103862456325], 1] 1
[[715373122078302208], 1] 1
[[715373196078424064], 1] 1
[[715373214944223232], 1] 1
[[715374100634468353], 1] 1
[[715375652317175809], 1] 1
[[715376863317655552], 1] 1
[[715379612952371200], 1] 1
[[715380711495188480], 1] 1
[[715381998240530432], 1] 1
[[715382157984866304], 1] 1
[[715382654170828802], 1] 1
[[715382726174461953], 1] 1
[[715383929121804288], 1] 1
[[715384614831857664], 1] 1
[[715384853567385602], 1] 1
[[715386109249789953], 1] 1
[[715386123875291139], 1] 1
[[715386900605902848], 1] 1
[[715387036908126211], 1] 1
[[715387815593250816], 1] 1
[[715388151838023680], 1] 1
[[715388584455307265], 1] 1
[[715388839787823107], 1] 1
[[715391539111796736], 1] 1
[[715391539111796736], 1] 1
[[715392916777111553], 1] 1
[[715393691582484481], 1] 1
[[715394644096385024], 1] 1
[[715395629766213633], 1] 1
[[715395751279341569], 1] 1
[[715396457675694080], 1] 1
[[715396556942217216], 1] 1
[[715397002058530817], 1] 1
[[715397115564810240], 1] 1
[[715398153390809090], 1] 1
[[715398516562989057], 1] 1
[[715399117241888768], 1] 1
[[715400752751976448], 1] 1
[[715401578543337473], 1] 1
[[715402075182501888], 1] 1
[[715402075677429760], 1] 1
[[715403676232253441], 1] 1
[[715404450681073665], 1] 1
[[715405113397936128], 1] 1
[[715405248571904002], 1] 1
[[715406222308954112], 1] 1
[[715406972942557185], 1] 1
[[715408745459634177], 1] 1
[[715410911377231873], 1] 1
[[715413586986672128], 1] 1
[[715414299993378816], 1] 1
[[715415622910238721], 1] 1
[[715415848161255424], 1] 1
[[715418427268186113], 1] 1
[[715418572416110593], 1] 1
[[715418578829320197], 1] 1
[[715419273791938560], 1] 1
[[715419980569796610], 1] 1
[[715420227073413121], 1] 1
[[715420535279124480], 1] 1
[[715422712466792449], 1] 1
[[715423951531315201], 1] 1
[[715424638428454912], 1] 1
[[715424638428454912], 1] 1
[[715427002820354048], 1] 1
[[715427079723028480], 1] 1
[[715427510003957760], 1] 1
[[715428448194457604], 1] 1
[[715429780351352832], 1] 1
[[715430212926836736], 1] 1
[[715436822608752640], 1] 1
[[715436856339357696], 1] 1
[[715438027301076992], 1] 1
[[715438505422364672], 1] 1
[[715440244691050496], 1] 1
[[715440495875506176], 1] 1
[[715441121908899840], 1] 1
[[715441378017329152], 1] 1
[[715446777285976064], 1] 1
[[715446835641339904], 1] 1
[[715448648532893696], 1] 1
[[715451667286736896], 1] 1
[[715452044929163264], 1] 1
[[715452230208323584], 1] 1
[[715452659881287682], 1] 1
[[715452810347687937], 1] 1
[[715456195755028482], 1] 1
[[715456201224421376], 1] 1
[[715457746124955648], 1] 1
[[715457866782474240], 1] 1
[[715458389757693953], 1] 1
[[715459472131563521], 1] 1
[[715459604344246276], 1] 1
[[715461847080501249], 1] 1
[[715462687296196608], 1] 1
[[715466893365121025], 1] 1
[[715470578681909248], 1] 1
[[715470873822539780], 1] 1
[[715471720849625089], 1] 1
[[715472583735443459], 1] 1
[[715473199786405888], 1] 1
[[715473295584284673], 1] 1
[[715473295584284673], 1] 1
[[715473605451063297], 1] 1
[[715475854579511297], 1] 1
[[715477290302373888], 1] 1
[[715477831891812352], 1] 1
[[715478828336807940], 1] 1
[[715479214309289984], 1] 1
[[715484229505658882], 1] 1
[[715484229505658882], 1] 1
[[715487688430718976], 1] 1
[[715488239633571841], 1] 1
[[715489213437726720], 1] 1
[[715489329057927168], 1] 1
[[715489334938370048], 1] 1
[[715490451843756033], 1] 1
[[715490818627280896], 1] 1
[[715491202825478144], 1] 1
[[715491202825478144], 1] 1
[[715491202825478144], 1] 1
[[715491650521399296], 1] 1
[[715491842754646016], 1] 1
[[715492145138798593], 1] 1
[[715493036549996545], 1] 1
[[715493036549996545], 1] 1
[[715493036549996545], 1] 1
[[715494574043443200], 1] 1
[[715495287381360640], 1] 1
[[715497195265400832], 1] 1
[[715499253083168770], 1] 1
[[715500304184250368], 1] 1
[[715500375848013824], 1] 1
[[715500591133376512], 1] 1
[[715501063319777280], 1] 1
[[715501495102222336], 1] 1
[[715502170548768768], 1] 1
[[715502258008371200], 1] 1
[[715503745627500545], 1] 1
[[715504249279414273], 1] 1
[[715507526410764288], 1] 1
[[715507942645059590], 1] 1
[[715508983268659200], 1] 1
[[715509383895982080], 1] 1
[[715509496588722176], 1] 1
[[715509811492696064], 1] 1
[[715509852949192704], 1] 1
[[715510061754265600], 1] 1
[[715510345771552770], 1] 1
[[715510801444904960], 1] 1
[[715510907225419776], 1] 1
[[715511471946481664], 1] 1
[[715511497674375170], 1] 1
[[715512127956652032], 1] 1
[[715512764450537473], 1] 1
[[715512840988143616], 1] 1
[[715513426097922048], 1] 1
[[715513791858008065], 1] 1
[[715514357916913664], 1] 1
[[715514738470313985], 1] 1
[[715514950630899713], 1] 1
[[715515982584881152], 1] 1
[[715516344444137472], 1] 1
[[715516420377997312], 1] 1
[[715516504285036544], 1] 1
[[715516765661335552], 1] 1
[[715517212589748228], 1] 1
[[715517363203010561], 1] 1
[[715517414813736960], 1] 1
[[715518023126220800], 1] 1
[[715518708106440705], 1] 1
[[715519120364601345], 1] 1
[[715519328314122240], 1] 1
[[715519329668886528], 1] 1
[[715519993564147713], 1] 1
[[715520345516732416], 1] 1
[[715521653849985024], 1] 1
[[715521927410913280], 1] 1
[[715522463581532160], 1] 1
[[715522463581532160], 1] 1
[[715522552265838592], 1] 1
[[715522569579864064], 1] 1
[[715523361493884928], 1] 1
[[715523468343771137], 1] 1
[[715523996167630848], 1] 1
[[715523996167630848], 1] 1
[[715525313585917954], 1] 1
[[715525365616128000], 1] 1
[[715525991725182976], 1] 1
[[715526014785327106], 1] 1
[[715526209489076224], 1] 1
[[715526417308459008], 1] 1
[[715526748985802753], 1] 1
[[715527189127532544], 1] 1
[[715527196983500800], 1] 1
[[715527697510768642], 1] 1
[[715527819967770624], 1] 1
[[715527819967770624], 1] 1
[[715528339159707648], 1] 1
[[715528683725987840], 1] 1
[[715530489168314372], 1] 1
[[715532991888433152], 1] 1
[[715533224743710720], 1] 1
[[715533753083379712], 1] 1
[[715533766261739521], 1] 1
[[715535456591478784], 1] 1
[[715535456591478784], 1] 1
[[715535456591478784], 1] 1
[[715535456591478784], 1] 1
[[715535456591478784], 1] 1
[[715535730148261888], 1] 1
[[715536079412137985], 1] 1
[[715536190309576704], 1] 1
[[715536262770384897], 1] 1
[[715536558791720960], 1] 1
[[715537234485710848], 1] 1
[[715537437217304577], 1] 1
[[715537990030868480], 1] 1
[[715537992824262657], 1] 1
[[715538413915648000], 1] 1
[[715539444065959936], 1] 1
[[715539588853456896], 1] 1
[[715539588853456896], 1] 1
[[715539588853456896], 1] 1
[[715539588853456896], 1] 1
[[715539626719633408], 1] 1
[[715539985449881601], 1] 1
[[715540670585266176], 1] 1
[[715540745822859264], 1] 1
[[715541006385594368], 1] 1
[[715541341959274501], 1] 1
[[715542527646928896], 1] 1
[[715542556323483648], 1] 1
[[715542729397108736], 1] 1
[[715542952286642177], 1] 1
[[715542954778034180], 1] 1
[[715543011988385792], 1] 1
[[715544350919368704], 1] 1
[[715544380589735936], 1] 1
[[715544535179333634], 1] 1
[[715544707783385088], 1] 1
[[715545055302402048], 1] 1
[[715545800017719297], 1] 1
[[715545823426252800], 1] 1
[[715545872256380928], 1] 1
[[715545897883533312], 1] 1
[[715546220484112385], 1] 1
[[715546632830496770], 1] 1
[[715546653516767232], 1] 1
[[715546729127358464], 1] 1
[[715546898937942017], 1] 1
[[715547041498267648], 1] 1
[[715547487231152128], 1] 1
[[715548520996933633], 1] 1
[[715548609006022656], 1] 1
[[715549177967566852], 1] 1
[[715549214504128513], 1] 1
[[715550354436395009], 1] 1
[[715550560154464256], 1] 1
[[715551429566574592], 1] 1
[[715551764414664709], 1] 1
[[715551904692985857], 1] 1
[[715552191386230785], 1] 1
[[715552288081715200], 1] 1
[[715552301679788032], 1] 1
[[715552594106662912], 1] 1
[[715552638314610688], 1] 1
[[715552715762368512], 1] 1
[[715552740789723136], 1] 1
[[715552954904932353], 1] 1
[[715553249961619457], 1] 1
[[715553733656969216], 1] 1
[[715553733656969216], 1] 1
[[715554100872486912], 1] 1
[[715554333387915265], 1] 1
[[715554569334329344], 1] 1
[[715554656017981440], 1] 1
[[715555160911577088], 1] 1
[[715555536343851008], 1] 1
[[715555907074134016], 1] 1
[[715555907074134016], 1] 1
[[715555907074134016], 1] 1
[[715555907074134016], 1] 1
[[715556000330346496], 1] 1
[[715556560253161473], 1] 1
[[715556688451993600], 1] 1
[[715556754067574785], 1] 1
[[715557370001162241], 1] 1
[[715557471482347520], 1] 1
[[715557642538713089], 1] 1
[[715557768086749184], 1] 1
[[715559203444625408], 1] 1
[[715559346730614786], 1] 1
[[715559349234479105], 1] 1
[[715559350681473025], 1] 1
[[715559645234900993], 1] 1
[[715559960160165888], 1] 1
